from_port_name,from_port_uuid,from_port_unlocode,from_port_lon,from_port_lat,to_port_name,to_port_uuid,to_port_unlocode,to_port_lon,to_port_lat,route_index,lat,lon,total_dist_nm
BREMERHAVEN,6b921397-6fc7-c2f7-1c01-3a7b2196ff60,DEBRV,8.548876,53.55088,BALTIMORE,7c9f6b30-134a-f7e5-bba0-3cd15a9de651,USBAL,-76.58681,39.254,24,58.543,-8.637,6675.9321
BREMERHAVEN,6b921397-6fc7-c2f7-1c01-3a7b2196ff60,DEBRV,8.548876,53.55088,BALTIMORE,7c9f6b30-134a-f7e5-bba0-3cd15a9de651,USBAL,-76.58681,39.254,25,58.4746,-10.1362,6675.9321
BREMERHAVEN,6b921397-6fc7-c2f7-1c01-3a7b2196ff60,DEBRV,8.548876,53.55088,BALTIMORE,7c9f6b30-134a-f7e5-bba0-3cd15a9de651,USBAL,-76.58681,39.254,26,58.3967,-11.8419,6675.9321
BREMERHAVEN,6b921397-6fc7-c2f7-1c01-3a7b2196ff60,DEBRV,8.548876,53.55088,BALTIMORE,7c9f6b30-134a-f7e5-bba0-3cd15a9de651,USBAL,-76.58681,39.254,27,58.3925,-11.9323,6675.9321
BREMERHAVEN,6b921397-6fc7-c2f7-1c01-3a7b2196ff60,DEBRV,8.548876,53.55088,BALTIMORE,7c9f6b30-134a-f7e5-bba0-3cd15a9de651,USBAL,-76.58681,39.254,28,58.3696,-12.4344,6675.9321
BREMERHAVEN,6b921397-6fc7-c2f7-1c01-3a7b2196ff60,DEBRV,8.548876,53.55088,BALTIMORE,7c9f6b30-134a-f7e5-bba0-3cd15a9de651,USBAL,-76.58681,39.254,29,57.9468,-16.517,6675.9321
BREMERHAVEN,6b921397-6fc7-c2f7-1c01-3a7b2196ff60,DEBRV,8.548876,53.55088,BALTIMORE,7c9f6b30-134a-f7e5-bba0-3cd15a9de651,USBAL,-76.58681,39.254,30,57.8239,-17.7043,6675.9321
BREMERHAVEN,6b921397-6fc7-c2f7-1c01-3a7b2196ff60,DEBRV,8.548876,53.55088,BALTIMORE,7c9f6b30-134a-f7e5-bba0-3cd15a9de651,USBAL,-76.58681,39.254,31,57.6957,-18.9419,6675.9321
BREMERHAVEN,6b921397-6fc7-c2f7-1c01-3a7b2196ff60,DEBRV,8.548876,53.55088,BALTIMORE,7c9f6b30-134a-f7e5-bba0-3cd15a9de651,USBAL,-76.58681,39.254,32,57.6424,-19.4569,6675.9321
BREMERHAVEN,6b921397-6fc7-c2f7-1c01-3a7b2196ff60,DEBRV,8.548876,53.55088,BALTIMORE,7c9f6b30-134a-f7e5-bba0-3cd15a9de651,USBAL,-76.58681,39.254,33,57.5528,-20.0021,6675.9321
